19   tensor(0.6205, grad_fn=<NllLossBackward>)
[5,    20] loss: 0.615
20   tensor(0.6034, grad_fn=<NllLossBackward>)
21   tensor(0.6517, grad_fn=<NllLossBackward>)
22   tensor(0.6093, grad_fn=<NllLossBackward>)
23   tensor(0.7125, grad_fn=<NllLossBackward>)
24   tensor(0.8062, grad_fn=<NllLossBackward>)
[5,    25] loss: 0.677
25   tensor(0.5696, grad_fn=<NllLossBackward>)
26   tensor(0.5805, grad_fn=<NllLossBackward>)
27   tensor(0.6373, grad_fn=<NllLossBackward>)
28   tensor(0.5671, grad_fn=<NllLossBackward>)
29   tensor(0.6334, grad_fn=<NllLossBackward>)
[5,    30] loss: 0.598
30   tensor(0.7082, grad_fn=<NllLossBackward>)
31   tensor(0.5719, grad_fn=<NllLossBackward>)
32   tensor(0.7101, grad_fn=<NllLossBackward>)
33   tensor(0.6763, grad_fn=<NllLossBackward>)
34   tensor(0.5961, grad_fn=<NllLossBackward>)
[5,    35] loss: 0.653
35   tensor(0.6445, grad_fn=<NllLossBackward>)
36   tensor(0.5837, grad_fn=<NllLossBackward>)
37   tensor(0.5692, grad_fn=<NllLossBackward>)
38   tensor(0.6391, grad_fn=<NllLossBackward>)
39   tensor(0.5927, grad_fn=<NllLossBackward>)
[5,    40] loss: 0.606
40   tensor(0.7227, grad_fn=<NllLossBackward>)
41   tensor(0.6884, grad_fn=<NllLossBackward>)
42   tensor(0.6806, grad_fn=<NllLossBackward>)
43   tensor(0.7059, grad_fn=<NllLossBackward>)
44   tensor(0.5473, grad_fn=<NllLossBackward>)
[5,    45] loss: 0.669
45   tensor(0.6638, grad_fn=<NllLossBackward>)
46   tensor(0.5449, grad_fn=<NllLossBackward>)
47   tensor(0.6228, grad_fn=<NllLossBackward>)
48   tensor(0.5551, grad_fn=<NllLossBackward>)
49   tensor(0.5904, grad_fn=<NllLossBackward>)
[5,    50] loss: 0.595
50   tensor(0.5615, grad_fn=<NllLossBackward>)
51   tensor(0.6665, grad_fn=<NllLossBackward>)
52   tensor(0.6091, grad_fn=<NllLossBackward>)
53   tensor(0.6555, grad_fn=<NllLossBackward>)
54   tensor(0.5996, grad_fn=<NllLossBackward>)
[5,    55] loss: 0.618
55   tensor(0.7084, grad_fn=<NllLossBackward>)
56   tensor(0.7178, grad_fn=<NllLossBackward>)
0   tensor(0.6066, grad_fn=<NllLossBackward>)
1   tensor(0.6188, grad_fn=<NllLossBackward>)
2   tensor(0.5784, grad_fn=<NllLossBackward>)
3   tensor(0.6749, grad_fn=<NllLossBackward>)
4   tensor(0.5578, grad_fn=<NllLossBackward>)
[6,     5] loss: 0.607
5   tensor(0.6239, grad_fn=<NllLossBackward>)
6   tensor(0.6325, grad_fn=<NllLossBackward>)
7   tensor(0.5690, grad_fn=<NllLossBackward>)
8   tensor(0.7594, grad_fn=<NllLossBackward>)
9   tensor(0.5177, grad_fn=<NllLossBackward>)
[6,    10] loss: 0.620
10   tensor(0.6446, grad_fn=<NllLossBackward>)
11   tensor(0.6075, grad_fn=<NllLossBackward>)
12   tensor(0.5868, grad_fn=<NllLossBackward>)
13   tensor(0.6501, grad_fn=<NllLossBackward>)
14   tensor(0.5419, grad_fn=<NllLossBackward>)
[6,    15] loss: 0.606
15   tensor(0.6029, grad_fn=<NllLossBackward>)
16   tensor(0.6816, grad_fn=<NllLossBackward>)
17   tensor(0.6710, grad_fn=<NllLossBackward>)
18   tensor(0.7212, grad_fn=<NllLossBackward>)
19   tensor(0.6456, grad_fn=<NllLossBackward>)
[6,    20] loss: 0.664
20   tensor(0.5259, grad_fn=<NllLossBackward>)
21   tensor(0.5771, grad_fn=<NllLossBackward>)
22   tensor(0.6735, grad_fn=<NllLossBackward>)
23   tensor(0.5665, grad_fn=<NllLossBackward>)
24   tensor(0.6117, grad_fn=<NllLossBackward>)
[6,    25] loss: 0.591
25   tensor(0.6172, grad_fn=<NllLossBackward>)
26   tensor(0.6019, grad_fn=<NllLossBackward>)
27   tensor(0.6940, grad_fn=<NllLossBackward>)
28   tensor(0.6087, grad_fn=<NllLossBackward>)
29   tensor(0.6145, grad_fn=<NllLossBackward>)
[6,    30] loss: 0.627
30   tensor(0.5496, grad_fn=<NllLossBackward>)
31   tensor(0.5511, grad_fn=<NllLossBackward>)
32   tensor(0.6019, grad_fn=<NllLossBackward>)
33   tensor(0.5223, grad_fn=<NllLossBackward>)
34   tensor(0.6656, grad_fn=<NllLossBackward>)
[6,    35] loss: 0.578
35   tensor(0.6020, grad_fn=<NllLossBackward>)
36   tensor(0.6049, grad_fn=<NllLossBackward>)
37   tensor(0.6287, grad_fn=<NllLossBackward>)
38   tensor(0.5670, grad_fn=<NllLossBackward>)
39   tensor(0.5889, grad_fn=<NllLossBackward>)
